latitude,Longitude,accuracy,Date,Time
39.984702,116.318417,24,23-10-2008,02:53:04
39.984683,116.31845,12,23-10-2008,02:53:10
39.984686,116.318417,4,23-10-2008,02:53:15
39.984688,116.318385,4,23-10-2008,02:53:20
39.984655,116.318263,4,23-10-2008,02:53:25
39.984611,116.318026,4,23-10-2008,02:53:30
39.984608,116.317761,4,23-10-2008,02:53:35
39.984563,116.317517,4,23-10-2008,02:53:40
39.984539,116.317294,4,23-10-2008,02:53:45
39.984606,116.317065,4,23-10-2008,02:53:50
39.984568,116.316911,4,23-10-2008,02:53:55
39.984586,116.316716,4,23-10-2008,02:54:00
39.984561,116.316527,4,23-10-2008,02:54:05
39.984536,116.316354,4,23-10-2008,02:54:10
39.984523,116.316188,4,23-10-2008,02:54:15
39.984516,116.315963,4,23-10-2008,02:54:20
39.984523,116.315823,4,23-10-2008,02:54:25
39.984574,116.315611,4,23-10-2008,02:54:30
39.984568,116.315407,4,23-10-2008,02:54:35
39.984538,116.315148,4,23-10-2008,02:54:40
39.984501,116.314907,4,23-10-2008,02:54:45
39.984532,116.314808,4,23-10-2008,02:54:50
39.984504,116.314625,4,23-10-2008,02:54:55
39.984485,116.314426,4,23-10-2008,02:55:00
39.984427,116.31424,4,23-10-2008,02:55:05
39.984485,116.314042,4,23-10-2008,02:55:10
39.98448,116.313818,4,23-10-2008,02:55:15
39.984501,116.313659,4,23-10-2008,02:55:20
39.984618,116.314323,4,23-10-2008,02:55:25
39.984649,116.314107,4,23-10-2008,02:55:30
39.984621,116.313941,4,23-10-2008,02:55:35
39.984655,116.313724,4,23-10-2008,02:55:40
39.984681,116.313521,4,23-10-2008,02:55:45
39.984708,116.313311,4,23-10-2008,02:55:50
39.984708,116.313099,4,23-10-2008,02:55:55
39.984696,116.312921,4,23-10-2008,02:56:00
39.984677,116.312746,4,23-10-2008,02:56:05
39.984682,116.312525,4,23-10-2008,02:56:10
39.984649,116.312332,4,23-10-2008,02:56:15
39.984641,116.312123,4,23-10-2008,02:56:20
39.984647,116.311917,4,23-10-2008,02:56:25
