latitude,longitude,accuracy,timestamp
34.1014,-118.3369,8.12,1577218697
34.102,-118.3354,7.86,1577218699
34.1028,-118.3343,7.59,1577218704
34.1036,-118.333,7.32,1577218705
34.1043,-118.3317,7.05,1577218706
34.105,-118.3304,6.78,1577218707
34.1056,-118.3292,6.51,1577218708
34.1063,-118.3279,6.24,1577218709
34.107,-118.3267,5.97,1577218710
34.1077,-118.3254,5.7,1577218711
34.1084,-118.3241,5.43,1577218712
34.1091,-118.3229,5.16,1577218713
34.1098,-118.3216,4.89,1577218714
34.1105,-118.3203,4.62,1577218716
34.1112,-118.3191,4.35,1577218717
34.1119,-118.3178,4.08,1577218719
34.1126,-118.3166,3.81,1577218720
34.1133,-118.3153,3.54,1577218721
34.114,-118.3141,3.27,1577218723
34.1147,-118.3128,3,1577218724
34.1154,-118.3116,2.73,1577218726
34.1161,-118.3103,2.46,1577218727
34.1168,-118.3091,2.19,1577218729
34.1176,-118.3078,1.92,1577218730
34.1183,-118.3066,1.65,1577218731
34.119,-118.3053,1.38,1577218732
34.1197,-118.3041,1.11,1577218733
34.1204,-118.3028,0.84,1577218734
34.1212,-118.3016,0.57,1577218735
34.1219,-118.3003,0.3,1577218736
34.1226,-118.2991,0.12,1577218737
34.1233,-118.2979,0.39,1577218738
34.1241,-118.2966,0.66,1577218739
34.1248,-118.2954,0.93,1577218740
34.1255,-118.2942,1.2,1577218741
34.1263,-118.2929,1.47,1577218743
34.127,-118.2917,1.74,1577218744
34.1277,-118.2905,2.01,1577218746
34.1285,-118.2892,2.28,1577218747
34.1292,-118.288,2.55,1577218748
34.13,-118.2868,2.82,1577218750
34.1307,-118.2856,2.82,1577218751
34.1314,-118.2843,3.36,1577218753
34.1322,-118.2831,3.63,1577218754
34.1329,-118.2819,3.9,1577218756
34.1337,-118.2807,3.9,1577218757
34.1344,-118.2795,4.17,1577218759
34.1352,-118.2782,4.17,1577218760
34.1359,-118.277,4.71,1577218762
34.1367,-118.2758,4.71,1577218763
34.1374,-118.2746,5.25,1577218765
34.1382,-118.2734,5.25,1577218766
34.1389,-118.2722,5.79,1577218768
34.1397,-118.271,5.79,1577218769
34.1405,-118.2697,6.33,1577218771
34.1412,-118.2685,6.33,1577218772
34.142,-118.2673,6.87,1577218773
34.1428,-118.2661,6.87,1577218775
34.1435,-118.2649,7.41,1577218776
34.1443,-118.2637,7.41,1577218778
34.1451,-118.2625,7.95,1577218779
34.1458,-118.2613,7.95,1577218780
34.1466,-118.2601,8.49,1577218781
34.1474,-118.2589,8.49,1577218782
34.1481,-118.2577,9.03,1577218783
34.1489,-118.2565,9.03,1577218784
34.1497,-118.2553,9.57,1577218785
34.1505,-118.2541,9.57,1577218786
34.1512,-118.2529,10.11,1577218787
34.152,-118.2517,10.11,1577218788
34.1528,-118.2505,10.65,1577218789
34.1536,-118.2493,10.65,1577218790
34.1544,-118.2481,11.19,1577218792
34.1552,-118.2469,11.19,1577218793
34.156,-118.2457,11.73,1577218795
